id,public_id,description,level,parent_id
174,1602257,Library Pockets,3,47
175,1602276,Construction Paper,3,32
176,1602278,Tablecloths,3,48
177,1602288,Two-way & NOAA Radios,3,8
178,1602290,Medical Spill Kits,3,34
179,1602297,Crowd Control,3,29
180,1602306,Numbering Stamps & Counters,3,49
181,1602308,Poly Envelopes,3,14
182,1602315,Coloring Books,3,32
183,1602317,Glitter,3,32
184,1602318,Modeling Clay,3,32
185,1602321,Bulletin Boards,3,16
186,1602323,Flash Cards,3,36
187,1602325,Chalks,3,32
188,1602337,Thermometers,3,34
189,1602343,Bags,3,32
190,1602344,Bulletin Board Sets & Trim,3,47
191,1602345,Games & Puzzles,3,50
192,1602347,Accents/Banners,3,47
193,1602351,Graphic Tapes,3,45
194,1602352,Learning Books & Activities,3,36
195,1602373,"Stain Remover - Crayon,Marker,Ink",3,51
196,1602376,Binder Labels,3,44
197,1602379,Desk Calendars & Pads,3,11
198,1602380,Refillable Planners & Refills,3,11
199,1602402,Speakers & Audio,3,8
200,1602410,Glue Guns & Accessories,3,25
201,1602413,Mounting Tape & Putty,3,25
202,1602416,Protractors & Triangles,3,45
203,1602417,Stickers,3,36
204,1602421,Stencils,3,32
205,1602423,Wrist Supports,3,52
206,1602424,Humidifiers,3,24
207,1602469,Power Cords & Surge Protectors,3,10
208,1602472,Tax Forms,3,20
209,1602473,Mailbox/Suggestion Boxes,3,26
210,1602481,Expense/Statement Forms,3,20
211,1602502,Invoice/Work Order Forms,3,20
212,1602506,Adhesive Removers,3,51
213,1602511,Business Cards,3,46
214,1602516,Magnetic Tape,3,25
215,1602518,Paint Accessories,3,32
216,1602519,Paint Dispensing Pumps,3,32
217,1602533,Stirrers,3,53
218,1602534,Cup Dispensers & Organizers,3,40
219,1602535,Water Dispensers & Filters,3,53
220,1602537,Napkin Dispensers,3,33
221,1602540,Creamers,3,18
222,1602541,Tea,3,54
223,1602542,Hot Chocolate/Cocoa,3,54
224,1602545,Stationery Envelopes,3,14
225,1602559,Dust Pans,3,17
226,1602560,Scrub Brushes,3,17
227,1602561,Dusters,3,17
228,1602562,Debris Nabbers,3,17
229,1602565,Skin Wipes,3,19
230,1602567,Skin Care Dispensers & Refills,3,19
231,1602570,Dust Mop Frames,3,17
232,1602572,Squeegees / Scrappers,3,17
233,1602577,Toilet Seat Covers,3,55
234,1602578,Urinal Screens / Mats,3,55
235,1602579,Disposable Liners,3,55
236,1602581,Receptacles,3,55
237,1602583,Personal Hygiene Supplies,3,56
238,1602584,Bathroom Tissue Dispensers,3,33
239,1602585,Toilet Cover Dispensers,3,55
240,1602586,Plungers,3,55
241,1602587,Sanitary Receptacle Dispenser,3,55
242,1602588,Toilet Bowl Brushes,3,17
243,1602597,Back Supports,3,52
244,1602601,Eyewash,3,41
245,1602604,Lens Cleaners,3,51
246,1602610,Fire Extinguishers,3,57
247,1602611,Smoke / Carbon Monoxide Detectors,3,57
248,1602615,Cotton Balls & Swabs,3,56
249,1602627,CPR Masks,3,41
250,1602642,Duct Tape,3,25
251,1602665,Letter Trays,3,13
252,1602667,Printed Stationery,3,46
253,1602670,Lockout Kits,3,29
254,1602674,Air Freshener Dispensers,3,9
255,1602699,Screwdrivers,3,27
256,1602700,Tool Kits,3,27
257,1602705,Gavels,3,26
258,1602739,Book Tapes,3,25
259,1602746,Filament Tape,3,25
260,1602754,Card Files & Holders,3,13
261,1602762,Automobile Log Books,3,20
262,1602764,Journals,3,58
263,1602782,Greeting Cards,3,46
264,1602784,Postcards,3,46
265,1602788,Note Cards,3,46
266,1602796,Tent & Placement Cards,3,46
267,1602876,Templates,3,45
268,1602922,Wide Format Paper,3,58
269,1602928,Scanners,3,22
